epoch,1,2,3,4,5,6,7,8,9,10
0,0.12799858,0.06729459,0.061801095,0.08711552,0.13912983,0.1376748,0.11690232,0.071783476,0.066250086,0.12404967
1,0.12368869,0.06910331,0.065450825,0.086894915,0.13475564,0.13327871,0.12230116,0.07400872,0.07018143,0.12033659
2,0.119544305,0.0708425,0.06888253,0.08721346,0.13103782,0.12915596,0.12724479,0.07618073,0.073474035,0.1164238
3,0.115682475,0.07231079,0.07207986,0.088044725,0.12793507,0.1255614,0.1308925,0.078020595,0.076432675,0.11304001
4,0.112051144,0.07372593,0.074972555,0.088623054,0.12549867,0.12222121,0.13470526,0.0796608,0.07896698,0.10957444
5,0.10873552,0.07496293,0.07755626,0.08924105,0.12289655,0.11964314,0.13798171,0.081200756,0.08112506,0.10665697
6,0.105707236,0.075907834,0.080035895,0.090195015,0.12117317,0.117271245,0.14063837,0.08234708,0.083144024,0.10358018
7,0.10287156,0.076765046,0.08229175,0.09071857,0.119990095,0.11494181,0.14326435,0.083365835,0.08510298,0.10068807
8,0.09994684,0.07762658,0.08437978,0.09144867,0.11907922,0.1130576,0.1453413,0.084541135,0.08660619,0.097972736
9,0.09744248,0.07827098,0.08646549,0.09210483,0.1182301,0.11136392,0.14745742,0.085269965,0.08801402,0.09538081
10,0.094968766,0.079089895,0.08817969,0.09270678,0.117665045,0.11016547,0.14939316,0.086127624,0.089328006,0.09237553
11,0.09276253,0.07946679,0.08975534,0.093335494,0.11686765,0.10898371,0.15121663,0.08659717,0.090373345,0.09064138
12,0.09067544,0.07957065,0.09127167,0.0939297,0.1164521,0.10793547,0.15235563,0.087636046,0.09130731,0.08886601
13,0.088855654,0.08019673,0.092795536,0.09440516,0.11607067,0.10701741,0.15390131,0.08758702,0.0922782,0.08689228
14,0.08731267,0.08039396,0.09420126,0.0947491,0.11575931,0.10626501,0.15481028,0.08834041,0.09297887,0.08518917
15,0.085831225,0.08057038,0.09541679,0.09532284,0.115812235,0.10559031,0.1556367,0.088447966,0.09373741,0.08363424
16,0.08464943,0.08086649,0.09653149,0.09570174,0.11557347,0.10503257,0.15629144,0.08886334,0.0942677,0.08222234
17,0.08348125,0.08096611,0.097596,0.096015885,0.11538797,0.1045847,0.15683158,0.08930376,0.09489848,0.0809343
18,0.082404174,0.08122535,0.09858215,0.096432626,0.115419544,0.103991,0.15729353,0.08956778,0.095430754,0.07965304
19,0.081689134,0.08122247,0.09960143,0.097163565,0.115431555,0.10388221,0.15723708,0.089502275,0.09585777,0.07841249
20,0.08106798,0.08128769,0.100317635,0.09737347,0.11538811,0.1035432,0.15739955,0.089805536,0.0964087,0.07740813
21,0.08050878,0.0811486,0.101052046,0.09759655,0.11543654,0.103324905,0.15809403,0.089932345,0.09650956,0.076396644
