epoch,date,wins_5_1,wins_5_0,wins_4_1_and_4_0,wins_3_1_and_3_0,wins_2_1_and_2_0
0,2013-06-22,0.519949,6.723348,1468.3435,57980.805,743065.75
0,2022-06-20,0.17769557,2.6975868,630.3136,26749.51,365905.12
0,2016-12-24,0.73231214,4.98894,1174.5793,46754.88,601186.56
1,2013-06-22,0.49620128,6.2084317,1371.1278,54664.145,707851.44
1,2022-06-20,0.17281857,2.4676151,580.89294,24771.188,340952.75
1,2016-12-24,0.7149354,5.065184,1189.7809,47555.918,614906.1
2,2013-06-22,0.46862975,5.6829233,1272.3922,51339.934,673219.9
2,2022-06-20,0.16897894,2.2841675,541.0951,23160.957,320395.97
2,2016-12-24,0.706809,5.2057185,1217.9171,48767.418,632311.1
3,2013-06-22,0.4457181,5.267108,1193.6012,48671.9,645296.3
3,2022-06-20,0.16514677,2.126017,507.08102,21796.258,303052.97
3,2016-12-24,0.69585735,5.3193784,1241.4103,49846.89,648652.7
4,2013-06-22,0.42468587,4.9064918,1124.9612,46346.387,621001.9
4,2022-06-20,0.16159202,1.9937568,478.56937,20653.146,288547.34
4,2016-12-24,0.6926483,5.488889,1275.7112,51256.18,667782.2
5,2013-06-22,0.4055299,4.5886335,1063.9886,44268.027,599164.0
5,2022-06-20,0.15804042,1.8797115,454.15192,19683.719,276352.62
5,2016-12-24,0.689477,5.651386,1309.1497,52642.81,686625.75
6,2013-06-22,0.38621452,4.3038673,1009.4558,42439.613,580561.0
6,2022-06-20,0.15457287,1.7767214,432.12952,18811.764,265400.9
6,2016-12-24,0.67841333,5.739438,1329.2466,53633.473,702072.56
7,2013-06-22,0.36884093,4.055525,961.6945,40835.11,564225.9
7,2022-06-20,0.1524416,1.7000114,415.37164,18129.27,256562.05
7,2016-12-24,0.6696784,5.8401713,1352.3658,54728.145,718453.1
8,2013-06-22,0.35316443,3.8242629,916.61115,39289.12,548001.06
8,2022-06-20,0.151374,1.6425865,402.6352,17595.295,249396.1
8,2016-12-24,0.6666369,6.003278,1387.4967,56217.32,738743.94
9,2013-06-22,0.3375517,3.6210716,877.2541,37974.176,534867.25
9,2022-06-20,0.14842893,1.5681973,386.80798,16973.436,241614.6
9,2016-12-24,0.6562538,6.078528,1406.3824,57189.51,754075.3
10,2013-06-22,0.3252833,3.4514759,843.8707,36826.426,522862.47
10,2022-06-20,0.14576583,1.5072885,373.82245,16465.576,235313.64
10,2016-12-24,0.6482664,6.177834,1431.097,58388.38,771906.25
11,2013-06-22,0.31212172,3.2921734,812.81036,35794.15,512753.94
11,2022-06-20,0.14406765,1.4610473,363.8515,16066.109,230191.97
11,2016-12-24,0.64680713,6.3259125,1463.8357,59777.88,790610.1
12,2013-06-22,0.3009588,3.1332307,780.9286,34669.047,500541.94
12,2022-06-20,0.14275943,1.421356,355.2577,15717.675,225645.53
12,2016-12-24,0.6348325,6.366319,1477.127,60590.742,804551.56
13,2013-06-22,0.29041442,3.0253098,760.0922,34010.4,494815.72
